pair_group,flight_id,feature,mean_delta_nrmse_over_repeats,sd_delta_nrmse_over_repeats,min_delta_nrmse_over_repeats,max_delta_nrmse_over_repeats,repeats
lon_db_03_12_ID_5.csv,5,elevator,0.12286300286308549,0.004393156187985652,0.11492522544051936,0.13119747316389713,20
lon_db_03_12_ID_6.csv,6,Va_EKF_CG,0.0284752012265978,0.0031307049223689262,0.02298098692732281,0.03377965899118346,20
lon_db_03_12_ID_6.csv,6,alpha,0.47073385735130635,0.019876363428509482,0.4061183431623017,0.5089674596323519,20
lon_db_03_12_ID_6.csv,6,beta,0.022832364003990135,0.003130616801112835,0.018310204515107564,0.029918470300931477,20
lon_db_03_12_ID_6.csv,6,p,0.0282682854553302,0.003546550949567261,0.022956020369102936,0.03734259631431769,20
lon_db_03_12_ID_6.csv,6,q,0.23924612326953146,0.0043815880075263585,0.23211412212263566,0.24771391072454502,20
lon_db_03_12_ID_6.csv,6,r,0.009388611930724655,0.0014505196627021349,0.006597302779121572,0.012262705249863726,20
lon_db_03_12_ID_6.csv,6,aileron,0.04956862083855559,0.0036204557083887173,0.042430865580995014,0.055777607623490544,20
lon_db_03_12_ID_6.csv,6,elevator,0.11439346916660845,0.004141406549532835,0.10452960036800779,0.12249097227544453,20
lon_db_23_6_ID_4.csv,4,Va_EKF_CG,0.03972119861657941,0.002528120945994597,0.03440268381748823,0.04423917023206392,20
lon_db_23_6_ID_4.csv,4,alpha,0.22136919016360795,0.010152002070973061,0.20426083713912002,0.24074494820001302,20
lon_db_23_6_ID_4.csv,4,beta,0.01857617275980513,0.002698222144812327,0.01456479197175592,0.023238596434598247,20
lon_db_23_6_ID_4.csv,4,p,0.012982878062167979,0.0014209955689925443,0.010444868209925018,0.015984699942094782,20
lon_db_23_6_ID_4.csv,4,q,0.14117719966047237,0.003219041370247904,0.1361364246677138,0.14717822243683865,20
lon_db_23_6_ID_4.csv,4,r,0.008759137466446094,0.001279001593445317,0.006725007032762853,0.011028877004278625,20
lon_db_23_6_ID_4.csv,4,aileron,0.044451159808669816,0.002861638463599483,0.039042120477361386,0.049996562909236764,20
lon_db_23_6_ID_4.csv,4,elevator,0.06284068301467628,0.0026283669026916988,0.05823397646942857,0.06822379919043098,20
lon_db_23_6_ID_5.csv,5,Va_EKF_CG,0.03311206361517148,0.0019942162635308894,0.028718854644697922,0.036042178784892076,20
lon_db_23_6_ID_5.csv,5,alpha,0.19691105278775187,0.0061340048023743035,0.1900560494751572,0.21044825830406733,20
lon_db_23_6_ID_5.csv,5,beta,0.029232193664649363,0.0037239067446293572,0.02236317268565946,0.03535873303921949,20
lon_db_23_6_ID_5.csv,5,p,0.02191322720553625,0.0019038736744127632,0.0185750273313936,0.0250270135748496,20
lon_db_23_6_ID_5.csv,5,q,0.12108527845549824,0.002795069901923686,0.11268251270778995,0.12518728553468284,20
lon_db_23_6_ID_5.csv,5,r,0.012177835229543733,0.0012887686080961245,0.010029860615307307,0.014640260067210809,20
lon_db_23_6_ID_5.csv,5,aileron,0.04054425351784796,0.002237208593981518,0.035976822679406995,0.04488350573340588,20
lon_db_23_6_ID_5.csv,5,elevator,0.054574505889052716,0.002123725886325896,0.05070251350603733,0.05829903045365459,20
lon_db_23_6_ID_6.csv,6,Va_EKF_CG,0.04730036399898344,0.0026807978840474463,0.04346562073102167,0.05400539831702961,20
lon_db_23_6_ID_6.csv,6,alpha,0.19249997501546237,0.005731961583776235,0.18301546376662642,0.20307167390129327,20
lon_db_23_6_ID_6.csv,6,beta,0.03826957837090033,0.003101666907053139,0.031966628731551816,0.0430455400240739,20
lon_db_23_6_ID_6.csv,6,p,0.018431967454290717,0.001592957863464996,0.01581731805827158,0.021777446561539904,20
lon_db_23_6_ID_6.csv,6,q,0.14199102183176673,0.0040447784345812275,0.13524787851065062,0.1504353216450522,20
lon_db_23_6_ID_6.csv,6,r,0.016287812138927164,0.0014604644499734626,0.01369558747892613,0.01845298947024826,20
lon_db_23_6_ID_6.csv,6,aileron,0.047968042992153986,0.0034442592839003055,0.03840867448353935,0.05229058704228162,20
