configuration,file_name,source_rows,retained_rows,C_X_body_median,C_X_body_p05,C_X_body_p95,C_Y_body_median,C_Y_body_p05,C_Y_body_p95,C_Z_body_median,C_Z_body_p05,C_Z_body_p95,C_D_drag_median,C_D_drag_p05,C_D_drag_p95,C_Y_wind_median,C_Y_wind_p05,C_Y_wind_p95,C_L_lift_median,C_L_lift_p05,C_L_lift_p95,C_l_roll_median,C_l_roll_p05,C_l_roll_p95,C_m_pitch_median,C_m_pitch_p05,C_m_pitch_p95,C_n_yaw_median,C_n_yaw_p05,C_n_yaw_p95
clean,lon_db_03_12_ID_6.csv,416,412,-0.03499389715714975,-0.038384880330080716,-0.0286923742431684,0.00042162898663368703,-0.0041882187294860805,0.004951837385138015,-0.23921887009473836,-0.2785315260227313,-0.2066819925917027,0.039346235376931604,0.03499536612635986,0.04472557599634783,0.0005481880038821715,-0.003975124341230871,0.004796743011463109,0.23844593994173174,0.206353714381874,0.2775803556309353,0.0009766869778020785,0.0002060882410654193,0.0017543924442443937,2.0601022675101022e-05,-0.0017778668015387094,0.0017888195613974893,-1.5456906557605978e-05,-0.00021457471626334528,0.00021370947475537517
clean,lon_db_23_6_ID_4.csv,571,567,-0.03688170934934614,-0.04485576576859468,-0.02840884047948021,0.00048704996397844083,-0.007774223381784133,0.007381519414145175,-0.24762903782632983,-0.3104882228165453,-0.19284028241605713,0.04160270396281729,0.03007510255524732,0.049105326165687746,-0.000690369546015013,-0.009305704521817261,0.005724745452641159,0.24745255131120464,0.19224360021160794,0.3089384268652344,0.0009328053040392369,-0.00036249398331966606,0.002216133092674908,2.9394759284879243e-05,-0.003205793421306809,0.003029009450541265,-2.5045661262846358e-05,-0.0003762240973155053,0.0003597513812496786
clean,lon_db_23_6_ID_5.csv,706,702,-0.03693597142229528,-0.04178597534258767,-0.027483487155335516,0.0009171262573720565,-0.005593225338680363,0.006920531873038462,-0.24867756064489765,-0.3023022893427287,-0.20512549858850837,0.040797249241000866,0.028971143745971536,0.04899490888134196,0.00011051875572836323,-0.006142322979930782,0.005939116987879767,0.2482808166988648,0.20486605138050878,0.30061069358218706,0.0009417650094598942,-0.00019973755196681472,0.0021234490882741084,2.3901296152368993e-05,-0.0029601504693676,0.0030174671457958184,-7.73421407969951e-06,-0.0003760927639847294,0.0003956846588251881
clean,lon_db_23_6_ID_6.csv,560,556,-0.03724560398318069,-0.043751833291501695,-0.03006685002390154,9.897767801907948e-05,-0.007192722306657039,0.007512335558954444,-0.24729760998259143,-0.3108494739007797,-0.19704771105353952,0.04279879906680762,0.03332110625081239,0.05071455083109356,-0.0016449287379947976,-0.008457461900636575,0.005585724756746626,0.24664759946279854,0.19632676572434948,0.3092003941931353,0.000980851397895301,-0.0003645570444732742,0.0024946298790954028,4.819574346600451e-05,-0.0034369264276645824,0.003037754094082747,-1.5477009069649445e-05,-0.0003761493893677749,0.0003479509525555571
iced,lat_121_01_15_ID_4.csv,457,453,-0.04250728837027694,-0.049330225436531545,-0.03718559905464294,0.0013554970876769265,-0.005048057189571718,0.009409423683121594,-0.2838999241211772,-0.34094343482909295,-0.22501834761619954,0.048385499320429265,0.040707208788094515,0.05892217230116362,-0.0004480867344105082,-0.0065179690308455876,0.006068617485708353,0.28254801589918205,0.22468801884355744,0.33948018991619994,0.0009825734115047006,-0.0009915807785496576,0.0033156612803936746,-1.3699607765680507e-05,-0.002600229194054864,0.0027015362070365243,7.924378349796559e-07,-0.00048464050090253326,0.0004932445531891145
iced,lat_121_01_15_ID_5.csv,290,286,-0.042369478030936124,-0.049841354730913466,-0.03542734308933136,0.0025029395844084856,-0.009731300607852189,0.012423972530557954,-0.2806868929382139,-0.3446501473370529,-0.21815471406666914,0.04963228579722548,0.0334308020371193,0.0562097264641882,0.0023757861956308396,-0.00894334916746161,0.012043005181945222,0.2795660022758294,0.2166348154687109,0.3430496853505295,0.0009543922633358105,-0.0016150437875103647,0.003731629179600642,4.3370634524657155e-05,-0.002814794957412895,0.0027269582072924495,-7.217246911771596e-05,-0.0007503605863442776,0.0006595359966986335
iced,lat_121_01_15_ID_6.csv,376,372,-0.04593375750283208,-0.052918434590423946,-0.038422039453910165,-0.00033857759616290497,-0.01012601883385253,0.009960952267735343,-0.2919643174722781,-0.3516035833170639,-0.2269754406122368,0.051650819999379836,0.04596339514513727,0.057484937991425164,-0.0010610555988460094,-0.010765463116328939,0.008971862327059864,0.2905576164069268,0.22669767086982012,0.35054605242336967,0.0010737423285780447,-0.0016282232946218229,0.004082038791600229,4.393524692988975e-05,-0.0026539762739551612,0.0025189587892572177,3.598726117277113e-05,-0.0006881741445367885,0.0006487359990501741
iced,lat_121_05_8_ID_4.csv,354,350,-0.04478613835764176,-0.052298502124290006,-0.0361526159372836,-0.0006421499466299735,-0.022021035694519298,0.01935446125658348,-0.29700428267178813,-0.36649027028566716,-0.22132161991219676,0.04817936611015992,0.03631986226107965,0.055222643365104726,-0.0020096771620402533,-0.020848931393369317,0.015039764546028865,0.29754706828688293,0.2211720801509987,0.3663910149871809,0.0009977541848745675,-0.004286093277431004,0.0052258025907802996,2.2180467143442223e-05,-0.0027418728650870517,0.0032036438417661984,1.0575765411350596e-06,-0.001269838302351211,0.0013353448829244996
iced,lat_121_05_8_ID_5.csv,364,360,-0.050186574025851825,-0.0623522949426847,-0.0395950777010835,0.0005471169764670715,-0.024608200560439965,0.020720421752632775,-0.2965081618512177,-0.4012871025663227,-0.2163759248216954,0.05777882228214273,0.048335470447102846,0.07689530780980483,-0.0011929805212811868,-0.024590289850091634,0.014827654269917218,0.2952555025476846,0.2158645142668442,0.3980767688621067,0.0010847592050105227,-0.004007080421484596,0.006783489113516282,0.0001333337194665849,-0.0034797807977379118,0.004242285644183123,2.481240042636839e-05,-0.0012950830415030608,0.0018008714955586784
iced,lat_121_05_8_ID_6.csv,408,404,-0.040342650166309224,-0.047602292235163,-0.03203102815889712,0.001047150382104586,-0.012638916998670586,0.01228221290821165,-0.2768479233011022,-0.332902248174776,-0.2123156874810178,0.04408442444958369,0.031557801503257085,0.05574446057871754,0.00034241179894455693,-0.013421225101072803,0.010730360427022844,0.2759511555287031,0.21230853336596484,0.331334116768707,0.0008795075435301091,-0.002439593295068032,0.004775321793284007,1.4589945385104665e-05,-0.002739061130705126,0.0031191487178656007,9.879209664775145e-06,-0.0007868005680512336,0.001240745318209402
